Name;;MED;type;pages
Maipure-Avane;;Raoul Zamponi 2003;grammar_sketch;92
Malali;;von Martius, Carl Friedrich Philip 1867;wordlist_or_less;3
Manao;;Maria de Lourdes Joyce 1951;phonology_or_text;81
Mandahuaca;;Tavera-Acosta, Bartolomé 1907;wordlist_or_less;35
Maragua;;Henri Ramirez 2001;wordlist_or_less;12
Maritsauá;;Karl von den Steinen 1886;wordlist_or_less;64
Masacara;;Silva Martins, Andérbio Márcio 2007;wordlist_or_less;5
Matanawí;;Valio Antunes Alves, Diego 2019;phonology_or_text;43
Mato Grosso Arára;;Hugo, Vitor 1959;wordlist_or_less;23
Mayoruna-Amazon;;von Martius, Carl Friedrich Philip 1867;wordlist_or_less;3
Mayoruna-Jandiatuba;;de Alviano, Fidelis 1957;wordlist_or_less;18
Mayoruna-Tabatinga;;von Martius, Carl Friedrich Philip 1867;wordlist_or_less;3
Menien;;Alfred Métraux 1930;wordlist_or_less;14
Mepuri;;Henri Ramirez 2020;wordlist_or_less;7
Millcayac;;Tornello, Pablo José and Roig, Antruo Andres and Nora Díaz and Luis Aguirre 2011;grammar_sketch;106
Miriti;;Brüzzi Alves da Silva, Alcionilio 1972;wordlist_or_less;3
Mochica;;E. W. Middendorf 1892;grammar;244
Morike;;Fleck, David W. 2007;wordlist_or_less;14
Muniche;;Gibson, Michael Luke 1996;grammar_sketch;103
Mure;;Lorenzo Hervás 1800;wordlist_or_less;103
Máku;;Maciel, Iraguacema 1991;grammar_sketch;78
Napeca;;Antonio Pauly 1928;wordlist_or_less;36
Nawa;;David W. Fleck 2013;wordlist_or_less;2
Nonuya;;Katarzyna I. Wojtylak 2016;grammar_sketch;19
Northeastern Timbira;;Curt Nimuendajú-Unkel 1914;wordlist_or_less;11
Nukuini;;Okidoi, Aline 2004;phonology_or_text;
Omurano;;Zachary J. O'Hagan 2011;wordlist_or_less;19
Opón-Carare;;Miguel Sánchez Pardo and Roberto Pineda Giraldo and Camilo Robayo 1998;wordlist_or_less;37
Oti;;Borba, Telemâco 1908;wordlist_or_less;58
Otomaco;;Rosenblat, Angel 1964 [1936];phonology_or_text;26
Otuke;;Montaño Aragón, Mario 1989;wordlist_or_less;14
Palmela;;da Fonseca, João Severiano 1881;wordlist_or_less;82
Pankararú;;Loukotka, Čestmír 1955;wordlist_or_less;1
Panobo;;de Jesus Gomes, Graziela 2010;grammar_sketch;151
Paranawát;;Rondon, Cándido M. S. and de Faria, João Barbosa 1948;wordlist_or_less;10
Parauana;;Henri Ramirez 2020;wordlist_or_less;7
Paravilhana;;von Martius, Carl Friedrich Philip 1867;wordlist_or_less;3
Passe;;Henri Ramirez 2001;wordlist_or_less;12
Pataxó Hã-Ha-Hãe;;da Silva, Aracy Lopes 1976;wordlist_or_less;53
Pauxi;;Coudreau, Olga 1901;wordlist_or_less;42
Pauxiana;;Meyer, Alcuino 1956;wordlist_or_less;53
Payagua;;Lorenzo Hervas 1787;phonology_or_text;3
Peba;;von Martius, Carl Friedrich Philip 1867;wordlist_or_less;3
Pimenteira;;von Martius, Carl Friedrich Philip 1867;wordlist_or_less;3
Poyanáwa;;de Paula, Aldir Santos 1992;grammar_sketch;140
Puelche;;Rosas, Juan Manuel de 1995;grammar;140
Puquina;;Hieronymus, Ludovicus 1607;grammar_sketch;232
Puri;;Gamito, José Aristides da Silva 2016;phonology_or_text;11
Pémono;;Mattei-Muller, Marie-Claude 2003;phonology_or_text;11
Ramanos;;Palau, Mercedes and Blanca Saiz 1989 [1794];wordlist_or_less;16
Remo of the Blanco river;;Philips Leuque, Enrique 2002 [1927];wordlist_or_less;3
Remo of the Jaquirana river;;Lízia de Oliveira Carvalho and Gláucia Vieira Cândido and Lincoln Almir Amarante Ribeiro 2006;wordlist_or_less;6
Remo of the Moa river;;Loos, Eugene E. 1973-1974;wordlist_or_less;
Rocorona;;Joshua Birchall 2013;wordlist_or_less;15
Salamãi;;Wanda Hanke 1950;wordlist_or_less;14
Sapara;;Theodor Koch-Grünberg 1928;wordlist_or_less;6
Sapé;;Migliazza, Ernesto 1967;phonology_or_text;2
Saraveca;;de Créqui-Montfort, Georges and Rivet, Paul 1913;grammar_sketch;44
Sechuran;;Urban, Matthias 2015;wordlist_or_less;19
Selk'nam;;Elena L. Najlis 1973;grammar;124
Sensi;;Günter Tessmann 1930;wordlist_or_less;6
Shebayo;;de Laet, Joannis 1633;wordlist_or_less;39
Skepi Creole Dutch;;Bart Jacobs and Mikael Parkvall 2020;wordlist_or_less;11
São Paulo Kaingáng;;Marita Porto Cavalcante 1987;phonology_or_text;76
Tacunyape;;Curt Nimuendajú 1932;wordlist_or_less;2
Tallán;;Ramos Cabredo, Josefina 1950;wordlist_or_less;45
Tama (Colombia);;Jules Crevaux and P. Sagot and Adam, Lucien 1882;wordlist_or_less;17
Tamanaku;;Hervás y Panduro, Lorenzo 1971 [1799];phonology_or_text;8
Taparita;;Rosenblat, Angel 1964 [1936];phonology_or_text;26
Teushen;;de Viedma, Antonio 1837;wordlist_or_less;112
Timote-Cuica;;Paul Rivet 1927;grammar_sketch;31
Tiverighotto;;von Martius, Carl Friedrich Philip 1867;wordlist_or_less;3
Toromono;;del Castillo, Marius 1929;wordlist_or_less;13
Torá;;Curt Nimuendajú 1925;wordlist_or_less;3
Totoro;;Gonzales Castaño, Geny 2019;long_grammar;757
Tupinambá;;Barbosa, A. Lemos 1956;long_grammar;481
Turiwára;;Nimuendajú, Curt 1914;wordlist_or_less;2
Tuxináwa;;Braulino de Carvalho, João 1931;wordlist_or_less;6
Tuxá;;Robert E. Meader 1978;wordlist_or_less;6
Uainuma-Mariate;;Alfred R. Wallace 1853;wordlist_or_less;17
Uirina;;Henri Ramirez 2001;wordlist_or_less;12
Umotína;;Pereira Lima, Stella Telles 1995;grammar_sketch;112
Uru;;Katja Hannß 2008;long_grammar;330
Urumi;;Rondon, Cándido M. S. and de Faria, João Barbosa 1948;wordlist_or_less;10
Urupa;;Curt Nimuendajú 1925;wordlist_or_less;3
Vilela;;A. de Llamas 1910;grammar_sketch;94
Wanyam;;Erland Nordenskiöld 1915;wordlist_or_less;68
Wayumara;;Farabee, William Curtis 1924;wordlist_or_less;25
Wiraféd;;Hanke, Wanda 1953;wordlist_or_less;12
Xakriabá;;von Martius, Carl Friedrich Philip 1867;wordlist_or_less;3
Xetá;;Vasconcelos, Eduardo Alves 2008;phonology_or_text;68
Xipaya;;Rodrigues, Carmen Lúcia Reis 1995;grammar;281
Xiriâna;;Henri Ramirez 1992;grammar;148
Xukurú;;Lapenda, Geraldo Calábria 1962;wordlist_or_less;13
Yabaâna-Mainatari;;Henri Ramirez 2001;wordlist_or_less;12
Yahuna;;Theodor Koch-Grünberg 1912, 1913, 1914, 1914, 1915-1916, 1915-1916;wordlist_or_less;6
Yaio;;de Laet, Joannis 1633;wordlist_or_less;39
Yameo;;Espinosa Pérez, Lucas 1955;grammar_sketch;99
Yaru;;Čestmír Loukotka 1963;wordlist_or_less;1
Yarumá;;Eduardo Galvão and Mário F. Simões 1965;wordlist_or_less;3
Yavitero-Pareni;;Mosonyi, Jorge C. 1987;grammar_sketch;123
Yupua;;Tastevin, Constant 1996;wordlist_or_less;42
Yurumanguí;;Sergio Elías Ortiz 1965;wordlist_or_less;51
Zamuco;;Suzanne Lussagnet 1958 [1745];grammar_sketch;59
