6,0,7,9,3,16,11,5,18,1,8,12,2,10,15,14,4,13,17
socialpas,qowanchis,qhapaqpas,teqse,nitaq,,tiyananpaq,protejisqan,,rimanakuypaqqa,wasinpipas,yachayninman,tribunalpa,yupaychaqpas,yuyaykusqanta,ñanman,runapaqmi,universal,
suyunchispi,reqsinan,rijch,teqsi,peqpapas,,yuyaychakusqanman,qechuy,,rimanakuypi,yachashasqan,yachaytawanpas,tukuymi,yuyaykuq,,ñisqa,runaqa,watanpi,
tantaykusqa,rimasqan,rimapayasqantaqmi,umanpi,pipas,,yuyaykukuyta,qelqa,,rimasqanku,yanapanakunankupaq,yapananpaq,umayuq,yuyayukuspataq,,,salariontaqa,,
warminpaqpas,runakunallaq,rimaqpas,yuyaykusqantan,qechuyta,,,qispisqa,,ruwasqamantaqa,yupaychana,,uyarisqanmi,ñaupa,,,tanqasqa,,
wasinpas,runamasinchiskunaqa,runamasintin,yuyaykusqantataqmi,runakunaq,,,qolqellamanta,,ruwasqanmantaqa,yuyaykuspa,,wachakoq,,,,warminpa,,
wasipi,runan,runapas,,runallapaqchu,,,runamante,,ruwaykunata,,,warmiqa,,,,wauqentin,,
wawankunapaqpas,runasimiman,simi,,tatichiyta,,,t'aqarparispa,,simikunaq,,,wawakunapas,,,,wawankunaq,,
wesq'asqapas,simikuna,tiyananpaqtaq,,tiyan,,,wawanpas,,simikunaqa,,,waynakunamanpas,,,,wijch'urparisqa,,
yachay,simikunamanwanpas,wajchapas,,warminwan,,,yachakunanpaq,,sumaq,,,wiñay,,,,yachayniyoq,,
yanqa,sut'inta,yachayniyoqpas,,wawankunawan,,,yachasqanchis,,sutiyoq,,,yachachina,,,,yanapanan,,
,t'ijrakunmi,,,yachayta,,,yachaynin,,tiyananku,,,yachaywasimantaqmi,,,,yuyayniyoq,,
,t'ijrasqa,,,,,,,,tiyaspataqmi,,,yanapasqa,,,,,,
,tiyaq,,,,,,,,tukuywanpis,,,,,,,,,
,unay,,,,,,,,warmi,,,,,,,,,
,wakin,,,,,,,,wawakunantin,,,,,,,,,
,watakunamantaña,,,,,,,,yachaspan,,,,,,,,,
,yachanan,,,,,,,,yapanankupaq,,,,,,,,,
,yachayninkunata,,,,,,,,yuyaykukusqanmantaqa,,,,,,,,,
,yachayniyoqpa,,,,,,,,yuyaytawanpas,,,,,,,,,
,yunkayoq,,,,,,,,,,,,,,,,,
,ñaupaq,,,,,,,,,,,,,,,,,
